,Name,Amplitude,Frequency,FrequencyDerivative,EclipticLatitude,EclipticLongitude,Inclination,ErrorInclination,Polarization,InitialPhase,GalacticLatitude,GalacticLongitude,Period,Mass1,ErrorMass1,Mass2,ErrorMass2,Distance,ErrorDistance
10,ZTFJ1905,9.922726928245878e-23,0.0019376758010867666,4.905500781016209e-18,0.9368299108774648,5.127776589762577,1.2217304763960306,20.0,0.0,0.0,0.194522181122524,1.0968905656593804,1032.16441,0.8,0.1,0.09,0.035,696.8,604.9
11,SDSSJ1908,6.476701617700626e-23,0.0018431345082701447,3.8638509498394434e-18,1.072577588847643,5.204803793379395,0.2617993877991494,0.0,0.0,0.0,0.24320988593615786,1.2333613505313208,1085.108,0.8,0.1,0.085,0.034,977.0,32.0
12,HPLib,1.5498099471470879e-22,0.0018137299356125872,2.524963818853467e-18,0.08656626037851801,4.102997781403209,0.5235987755982988,0.0,0.0,0.0,0.5680470756588385,6.144538096730409,1102.7,0.645,0.15500000000000003,0.068,0.019999999999999997,280.0,3.0
13,SDSSJ0935,4.883549229993149e-22,0.0016835016835016834,8.975820347190449e-18,0.4903299359122859,2.285934071436781,1.0471975511965976,0.0,0.0,0.0,0.8268951116928656,3.0731687655946076,1188.0,0.312,0.019,0.75,0.24,395.0,203.0
14,J0526+5934,3.014437071743255e-22,0.0016255211105735785,1.0669439223881907e-17,0.6334763503833044,1.4782064267465616,0.9965830028887622,4.199999999999999,0.0,0.0,0.23145509342397602,2.651505944959037,1230.37467,0.378,0.063,0.887,0.10400000000000001,845.0,68.0
15,J1239m2041,1.5875107961244993e-22,0.0014810075590625815,4.888274646074877e-18,-0.26289153444942287,3.445486075395212,1.239183768915974,9.0,0.0,0.0,0.734684131322249,5.22334284555229,1350.432,0.291,0.013,0.68,0.08499999999999999,972.0,272.4
16,CRBoo,1.2341101754286283e-22,0.001359336904583249,1.0610679420885857e-18,0.3123640022949432,3.530261214743812,0.5235987755982988,0.0,0.0,0.0,1.1604414943829977,5.950998535976757,1471.3056,0.885,0.21500000000000002,0.066,0.022,351.0,5.0
17,SDSSJ0634,1.7324113026808865e-22,0.0012567550584391101,1.4529589778751023e-18,0.25899118764293816,1.6943530464262384,0.6457718232379019,7.0,0.0,0.0,0.23249705498741663,3.084558784293123,1591.4,0.452,0.066,0.209,0.027500000000000004,433.261,16.0567
18,V803Cen,1.9336512427656875e-22,0.0012528188423953895,1.0642059768279332e-18,-0.5291276111568998,3.772765199391373,0.23561944901923448,0.0,0.0,0.0,0.3617404314268487,5.39947449234655,1596.4,0.975,0.19499999999999995,0.08399999999999999,0.025,287.0,5.0
19,4U1820-30,1.357474964821635e-23,0.00291970802919708,2.5041740708844685e-17,-0.12263940675223338,4.802117534039483,1.0471975511965976,0.0,0.0,0.0,-0.1381323383198392,0.04868770481363382,685.0,1.4,0.0,0.069,0.0,7600.0,0.0
20,SDSSJ2322,7.030541969534868e-23,0.0016647244880972198,2.7171267235059494e-18,0.1476062896183609,6.168576488687758,1.0471975511965976,0.0,0.0,0.0,-0.8937900912633042,1.50012270939389,1201.4,0.34,0.02,0.17,0.0,859.0,206.0
21,PTFJ0533,8.135862404040586e-23,0.0016207810320125486,3.962556470469602e-18,-0.3686727481892309,1.4469784718731191,1.270599695451872,1.1,0.0,0.0,-0.283158727185056,3.5220953744755805,1233.97298,0.652,0.0385,0.167,0.03,1173.0,390.0
22,ZTFJ2029,8.34987307322648e-23,0.0015973720048555093,3.6342351136523925e-18,0.5835320581999012,5.487960070233999,1.512153263927887,0.55,0.0,0.0,-0.23501731042729646,1.02247670767135,1252.056499,0.32,0.04,0.3,0.04,1095.0,644.0
23,PTF1919,3.1401614410063875e-23,0.001484390887621219,1.366433230495363e-18,1.2047845306043505,5.393038804872241,1.0471975511965976,0.0,0.0,0.0,0.2722312207383195,1.3891860914786265,1347.354,0.8,0.1,0.066,0.026,1364.24,471.774
24,TIC378898110,2.0731717173301073e-22,0.0014837235526276745,2.0405796337525657e-18,-0.9181239243625776,3.761802591790731,1.2915436464758039,10.0,0.0,0.0,0.033948399280541705,5.184596536158015,1347.96,0.8,0.1,0.1,0.02,309.0,2.0
25,CX1751,3.637762985689425e-23,0.001455604075691412,1.2341675089779478e-18,-0.10913135555544053,4.678487037000467,1.0471975511965976,0.0,0.0,0.0,-0.024623105087136003,6.282921762462535,1374.0,0.8,0.1,0.064,0.026,1128.0,258.0
26,ZTFJ0722,7.176054456355185e-23,0.0014059273072807481,2.841354105434733e-18,-0.7027587558682674,2.0225957764691134,1.5648622073381158,0.22,0.0,0.0,-0.03247010540410251,4.0664949840991484,1422.548655,0.38,0.04,0.33,0.03,1461.0,785.0
